"sp","sp_id","kernels","biomass_mean","biomass_sd","abund","mean_seed_number","mean_seed_mass","span","max_span"
"Achillea millefolium","p1","wind",100,0.5,2,600,0.07,"perennials",50
"Acinos arvensis","p2","wind",100,0.5,2,342,0.615533333333333,"perennials",5
"Actaea spicata","p3","windant",100,0.5,2,600,6.26026666666667,"perennials",50
"Aegopodium podagraria","p4","wind",100,0.5,2,600,1.559,"perennials",50
"Agrimonia eupatoria","p5","windant",100,0.5,2,600,4.23,"perennials",50
"Ajuga genevensis","p6","windant",100,0.5,2,62549.00165,1.754,"perennials",55
"Ajuga reptans","p7","windant",100,0.5,2,9006.08888833333,1.46519,"perennials",50
"Allium schoenoprasum","p8","windant",100,0.5,2,2270.15,0.9012,"perennials",5
"Alopecurus pratensis","p9","windant",100,0.5,2,45361.375,0.573,"perennials",55
"Anchusa arvensis","p10","ant",100,0.5,2,600,4.52966666666667,"perennials",2
"Antennaria dioica","p11","windant",100,0.5,2,280,0.0535,"perennials",50
"Anthoxanthum odoratum","p12","windant",100,0.5,2,600,0.5485,"perennials",55
"Anthriscus sylvestris","p13","windant",100,0.5,2,600,4.04,"perennials",50
"Anthyllis vulneraria","p14","windant",100,0.5,2,80.2,2.9305,"perennials",50
"Arabis hirsuta","p15","wind",100,0.5,2,552041.6665,0.0926285714285714,"perennials",5
"Arrhenatherum elatius","p16","windant",100,0.5,2,12580.333335,2.60005,"perennials",55
"Artemisia vulgaris","p17","windant",100,0.5,2,600,0.13964,"perennials",50
"Astragalus glycyphyllos","p18","wind",100,0.5,2,12168.71,5.15003333333333,"perennials",50
"Avenula pubescens","p19","windant",100,0.5,2,600,1.9075,"perennials",55
"Brachypodium pinnatum","p20","windant",100,0.5,2,32541.665,2.0458,"perennials",5
"Bellis perennis","p21","ant",100,0.5,2,600,0.10565,"perennials",50
"Briza media","p22","wind",100,0.5,2,600,0.31,"perennials",5
"Bromus erectus","p23","windant",100,0.5,2,600,4.1733333335,"perennials",55
"Bromus hordeaceus","p24","windant",100,0.5,2,600,1.81931,"perennials",2
"Calystegia sepium","p25","wind",100,0.5,2,600,30.272,"perennials",55
"Campanula glomerata","p26","wind",100,0.5,2,600,0.12,"perennials",50
"Campanula persicifolia","p27","wind",100,0.5,2,600,0.0706,"perennials",50
"Campanula rotundifolia","p28","wind",100,0.5,2,600,0.0625,"perennials",50
"Campanula rapunculoides","p29","windant",100,0.5,2,600,0.06,"perennials",50
"Cardaminopsis arenosa","p30","windant",100,0.5,2,600,0.109,"annuals",1
"Carduus crispus","p31","ant",100,0.5,2,600,1.254525,"perennials",2
"Carex caryophyllea","p32","ant",100,0.5,2,600,1.21176,"perennials",55
"Carex flacca","p33","wind",100,0.5,2,600,0.96528,"perennials",55
"Carex leporina","p34","windant",100,0.5,2,600,2.59509491789156,"perennials",55
"Carex ornithopoda","p35","windant",100,0.5,2,600,0.7596,"perennials",55
"Carlina vulgaris","p36","wind",100,0.5,2,600,2.59509491789156,"perennials",2
"Centaurea jacea","p37","windant",100,0.5,2,600,1.903,"perennials",50
"Centaurea scabiosa","p38","ant",100,0.5,2,600,6.16226666666667,"perennials",50
"Centaurium erythraea","p39","wind",100,0.5,2,600,0.0116,"perennials",2
"Cephalanthera rubra","p40","wind",100,0.5,2,600,2.59509491789156,"perennials",55
"Cerastium arvense","p41","windant",100,0.5,2,600,0.1534,"perennials",50
"Cerastium holosteoides","p42","windant",100,0.5,2,600,2.59509491789156,"perennials",55
"Cerastium tomentosum","p43","windant",100,0.5,2,600,0.449166666666667,"perennials",55
"Cerinthe minor","p44","windant",100,0.5,2,600,2.59509491789156,"perennials",50
"Chaerophyllum hirsutum","p45","windant",100,0.5,2,600,3.1785,"perennials",50
"Chaerophyllum temulum","p46","windant",100,0.5,2,600,2.274,"perennials",2
"Cichorium intybus","p47","windant",100,0.5,2,600,0.686,"perennials",50
"Cirsium acaule","p48","ant",100,0.5,2,600,3.35133333333333,"perennials",50
"Cirsium arvense","p49","windant",100,0.5,2,600,1.17,"perennials",50
"Cirsium oleraceum","p50","ant",100,0.5,2,600,2.59233333333333,"perennials",50
"Cirsium tuberosum","p51","ant",100,0.5,2,600,2.9356,"perennials",55
"Cirsium vulgare","p52","ant",100,0.5,2,600,2.163333333,"perennials",2
"Clinopodium vulgare","p53","wind",100,0.5,2,600,0.3593333335,"perennials",5
"Convolvulus arvensis","p54","wind",100,0.5,2,600,9.85534285714286,"perennials",50
"Crepis biennis","p55","ant",100,0.5,2,600,1.1153,"perennials",2
"Cruciata laevipes","p56","windant",100,0.5,2,600,3.5856,"perennials",50
"Cynosurus cristatus","p57","windant",100,0.5,2,600,0.5,"perennials",55
"Dactylis glomerata","p58","windant",100,0.5,2,600,0.51,"perennials",5
"Daucus carota","p59","windant",100,0.5,2,600,0.98,"perennials",5
"Echium vulgare","p60","wind",100,0.5,2,600,2.75102857142857,"perennials",2
"Elytrigia repens","p61","windant",100,0.5,2,600,2.59509491789156,"perennials",55
"Epilobium angustifolium","p62","windant",100,0.5,2,600,0.032,"perennials",5
"Epilobium montanum","p63","windant",100,0.5,2,600,0.1204,"perennials",50
"Equisetum arvense","p64","windant",100,0.5,2,600,2.59509491789156,"perennials",5
"Euphorbia cyparissias","p65","windant",100,0.5,2,600,1.958,"perennials",50
"Euphrasia officinalis","p66","ant",100,0.5,2,600,0.131,"annuals",1
"Falcaria vulgaris","p67","windant",100,0.5,2,2000,0.93,"perennials",2
"Festuca ovina","p68","windant",100,0.5,2,600,0.324142857142857,"perennials",2
"Festuca pratensis","p69","windant",100,0.5,2,125630.75,1.71533333333333,"perennials",5
"Festuca rubra","p70","windant",100,0.5,2,600,0.854285714285714,"perennials",2
"Filipendula vulgaris","p71","windant",100,0.5,2,600,0.70304,"perennials",5
"Fragaria vesca","p72","wind",100,0.5,2,600,0.313,"perennials",50
"Fragaria viridis","p73","wind",100,0.5,2,600,0.375125,"perennials",55
"Galeopsis ladanum","p74","windant",100,0.5,2,300,1.2,"annuals",1
"Galium aparine","p75","windant",100,0.5,2,600,8.12775,"perennials",2
"Galium mollugo","p76","windant",100,0.5,2,600,0.4928,"perennials",50
"Galium pumilum","p77","wind",100,0.5,2,600,0.358,"perennials",55
"Galium verum","p78","wind",100,0.5,2,600,0.34,"perennials",50
"Genista tinctoria","p79","wind",100,0.5,2,56652,3.42935,"perennials",55
"Gentianella ciliata","p80","windant",100,0.5,2,670,0.127,"perennials",2
"Gentianella germanica","p81","windant",100,0.5,2,600,0.1544,"perennials",2
"Geranium dissectum","p82","wind",100,0.5,2,600,2.56533333333333,"perennials",2
"Geranium molle","p83","wind",100,0.5,2,600,1.065,"perennials",2
"Geranium pratense","p84","wind",100,0.5,2,4186.4,8.3308,"perennials",50
"Geranium pusillum","p85","wind",100,0.5,2,38865.2222333333,0.7572,"perennials",2
"Geranium robertianum","p86","wind",100,0.5,2,600,0.86,"perennials",2
"Geum urbanum","p87","windant",100,0.5,2,600,1.5905,"perennials",50
"Gymnadenia conopsea","p88","windant",100,0.5,2,600,0.006,"perennials",55
"Helianthemum nummularium","p89","wind",100,0.5,2,600,0.908,"perennials",5
"Heracleum sphondylium","p90","windant",100,0.5,2,600,5.91216,"perennials",50
"Hieracium caespitosum","p91","ant",100,0.5,2,786.86,0.1065,"perennials",50
"Hieracium lachenalii","p92","windant",100,0.5,2,600,2.59509491789156,"perennials",55
"Hieracium murorum","p93","ant",100,0.5,2,59586.66667,0.4,"perennials",50
"Hieracium pilosella","p94","ant",100,0.5,2,600,0.1505,"perennials",50
"Hippocrepis comosa","p95","windant",100,0.5,2,600,3.66464,"perennials",50
"Holcus lanatus","p96","windant",100,0.5,2,600,0.337425,"perennials",55
"Hypericum perforatum","p97","windant",100,0.5,2,600,0.09668,"perennials",50
"Inula conyzae","p98","windant",100,0.5,2,600,2.59509491789156,"perennials",55
"Knautia arvensis","p99","ant",100,0.5,2,600,2.71825,"perennials",55
"Koelaeria pyramidata","p100","windant",100,0.5,2,600,2.59509491789156,"perennials",55
"Lathyrus pratensis","p101","wind",100,0.5,2,600,9.149066667,"perennials",55
"Leontodon hispidus","p102","ant",100,0.5,2,7455.74166666667,0.975,"perennials",55
"Leucanthemum vulgare","p103","windant",100,0.5,2,600,0.3604125,"perennials",55
"Linum catharticum","p104","windant",100,0.5,2,600,0.153542857142857,"perennials",2
"Listera ovata","p105","windant",100,0.5,2,600,2.59509491789156,"perennials",55
"Lolium perenne","p106","windant",100,0.5,2,600,1.9566,"perennials",2
"Lotus corniculatus","p107","wind",100,0.5,2,600,1.298,"perennials",5
"Medicago falcata","p108","windant",100,0.5,2,600,2.59509491789156,"perennials",55
"Medicago lupulina","p109","wind",100,0.5,2,600,1.715437037,"perennials",2
"Melampyrum arvense","p110","ant",100,0.5,2,600,14.0926,"perennials",2
"Melampyrum nemorosum","p111","ant",100,0.5,2,4996.86,6.637777778,"perennials",55
"Melampyrum sylvaticum","p112","ant",100,0.5,2,600,5.8021,"perennials",55
"Melilotus alba","p113","wind",100,0.5,2,600,2.8295,"perennials",2
"Melilotus officinalis","p114","wind",100,0.5,2,600,2.1615,"perennials",2
"Mentha arvensis","p115","windant",100,0.5,2,600,0.179236,"perennials",55
"Mentha verticillata","p116","windant",100,0.5,2,600,2.59509491789156,"perennials",55
"Myosotis arvensis","p117","ant",100,0.5,2,600,0.2555,"perennials",2
"Myosotis sylvatica","p118","ant",100,0.5,2,192,0.467,"perennials",5
"Onobrychis viciifolia","p119","windant",100,0.5,2,2710.4166675,20.11705,"perennials",5
"Ononis repens","p120","wind",100,0.5,2,600,4.4745,"perennials",50
"Ononis spinosa","p121","wind",100,0.5,2,600,4.53135555555556,"perennials",5
"Ophris apifera","p122","windant",100,0.5,2,600,2.59509491789156,"perennials",55
"Ophrys insectifera","p123","windant",100,0.5,2,600,2.59509491789156,"perennials",55
"Orchis mascula","p124","windant",100,0.5,2,600,2.59509491789156,"perennials",55
"Orchis militaris","p125","windant",100,0.5,2,600,0.001,"perennials",55
"Orchis purpurea","p126","windant",100,0.5,2,6000,2.59509491789156,"perennials",55
"Orchis tridentata","p127","windant",100,0.5,2,600,2.59509491789156,"perennials",55
"Origanum vulgare","p128","wind",100,0.5,2,600,0.09436,"perennials",50
"Phalaris arundinacea","p129","windant",100,0.5,2,16414.333335,0.4018666665,"perennials",55
"Phleum pratense","p130","windant",100,0.5,2,23282.9,0.446,"perennials",55
"Pimpinella saxifraga","p131","wind",100,0.5,2,600,1.06535,"perennials",50
"Plantago lanceolata","p132","wind",100,0.5,2,600,1.44,"perennials",50
"Plantago major","p133","windant",100,0.5,2,600,0.2249333335,"perennials",5
"Plantago media","p134","wind",100,0.5,2,600,0.37325,"perennials",5
"Platanthera chlorantha","p135","windant",100,0.5,2,600,0.003,"perennials",50
"Poa annua","p136","ant",100,0.5,2,600,0.212666363636364,"perennials",5
"Poa pratensis","p137","windant",100,0.5,2,68147,0.268666666666667,"perennials",55
"Poa trivialis","p138","windant",100,0.5,2,287.7,0.144,"perennials",55
"Polygala comosa","p139","ant",100,0.5,2,90.6666666666667,1.42,"perennials",55
"Polygala vulgaris","p140","ant",100,0.5,2,600,1.7114,"perennials",55
"Potentilla anserina","p141","windant",100,0.5,2,600,0.658,"perennials",55
"Potentilla neumanniana","p142","windant",100,0.5,2,600,2.59509491789156,"perennials",55
"Potentilla reptans","p143","ant",100,0.5,2,26171.66667,0.267866666666667,"perennials",55
"Primula veris","p144","wind",100,0.5,2,600,0.781175,"perennials",55
"Prunella grandiflora","p145","wind",100,0.5,2,286.626666666667,0.778,"perennials",55
"Prunella vulgaris","p146","windant",100,0.5,2,600,0.5768,"perennials",2
"Ranunculus bulbosus","p147","windant",100,0.5,2,106.2,2.553,"perennials",55
"Ranunculus repens","p148","wind",100,0.5,2,600,2.13463333333333,"perennials",55
"Rhinanthus angustifolius","p149","windant",100,0.5,2,600,2.32458888888889,"annuals",1
"Rhinanthus minor","p150","windant",100,0.5,2,600,1.510857143,"annuals",1
"Rumex acetosa","p151","windant",100,0.5,2,600,0.823133333333333,"perennials",55
"Rumex crispus","p152","windant",100,0.5,2,600,1.89933333333333,"perennials",2
"Salvia pratensis","p153","wind",100,0.5,2,600,2.53649090909091,"perennials",55
"Sanguisorba minor","p154","wind",100,0.5,2,600,2.9065833335,"perennials",55
"Scabiosa columbaria","p155","windant",100,0.5,2,763,1.7925,"perennials",2
"Sedum sexangulare","p156","windant",100,0.5,2,163.55,0.01,"perennials",55
"Senecio erucifolius","p157","ant",100,0.5,2,1993.875,0.21875,"perennials",55
"Senecio jacobaea","p158","ant",100,0.5,2,600,0.317111666666667,"perennials",2
"Senecio ovatus","p159","windant",100,0.5,2,600,2.59509491789156,"perennials",55
"Senecio vulgaris","p160","ant",100,0.5,2,600,0.269,"perennials",2
"Silene dioica","p161","wind",100,0.5,2,600,0.70005,"perennials",2
"Silene nutans","p162","wind",100,0.5,2,600,0.296266666666667,"perennials",55
"Sonchus asper","p163","ant",100,0.5,2,600,0.2268333335,"annuals",1
"Stachys germanica","p164","windant",100,0.5,2,600,1.51878,"perennials",55
"Stellaria holostea","p165","ant",100,0.5,2,600,2.7246,"perennials",55
"Stellaria media","p166","ant",100,0.5,2,600,0.3514,"annuals",1
"Symphytum officinale","p167","ant",100,0.5,2,600,5.52,"perennials",55
"Tanacetum vulgare","p168","ant",100,0.5,2,600,0.156114285714286,"perennials",5
"Taraxacum laevigaetum","p169","windant",100,0.5,2,600,2.59509491789156,"perennials",55
"Taraxacum officinale","p170","windant",100,0.5,2,600,0.5316,"perennials",55
"Thymus pulegioides","p171","windant",100,0.5,2,600,0.11,"perennials",55
"Tragopogon pratensis","p172","ant",100,0.5,2,5372.833335,8.72512,"perennials",2
"Trifolium campestre","p173","windant",100,0.5,2,42284.0875,0.320733,"perennials",2
"Trifolium dubium","p174","windant",100,0.5,2,26178.5,0.407690625,"annuals",1
"Trifolium medium","p175","windant",100,0.5,2,600,2.1266,"perennials",55
"Trifolium ochroleucon","p176","windant",100,0.5,2,600,2.3984,"perennials",55
"Trifolium pratense","p177","windant",100,0.5,2,600,1.378,"perennials",55
"Trifolium repens","p178","windant",100,0.5,2,600,0.513377777666667,"perennials",50
"Trisetum flavescens","p179","windant",100,0.5,2,46386.375,0.223,"perennials",55
"Triticum aestivum","p180","windant",100,0.5,2,577,43.125,"annuals",1
"Valeriana dioica","p181","windant",100,0.5,2,600,0.7025,"perennials",55
"Valeriana officinalis","p182","windant",100,0.5,2,600,0.871,"perennials",55
"Verbascum lychnitis","p183","windant",100,0.5,2,600,0.1188,"perennials",2
"Veronica chamaedrys","p184","windant",100,0.5,2,600,0.196,"perennials",55
"Veronica teucrium","p185","windant",100,0.5,2,600,2.59509491789156,"perennials",55
"Vicia cracca","p186","windant",100,0.5,2,600,15.2631333333333,"perennials",55
"Vicia hirsuta","p187","wind",100,0.5,2,600,5.55055,"perennials",2
"Vicia sepium","p188","wind",100,0.5,2,600,22.73416,"perennials",55
"Vicia tenuifolia","p189","wind",100,0.5,2,600,24.28,"perennials",55
"Vicia tetrasperma","p190","windant",100,0.5,2,600,3.19766666666667,"perennials",2
"Vicia villosa","p191","wind",100,0.5,2,600,2.59509491789156,"perennials",2
"Vincetoxicum hirundinaria","p192","windant",100,0.5,2,120670,6.985,"perennials",55
"Viola hirta","p193","windant",100,0.5,2,600,2.85704,"perennials",55
"Viola odorata","p194","windant",100,0.5,2,600,1.73,"perennials",55
